年份,地區,套裝旅遊,娛樂消遣及文化服務,書報雜誌文具,教育消遣康樂器材及其附屬品
2020,新北市,12124.791218,12242,3504.5869049,7796.1339201
2020,台北市,31740.512831,18985,4347.6929689,12260.621045
2020,桃園市,6072.5154526,11338,3919.3065917,5858.9374847
2020,台中市,14795.117135,11852,4253.8840485,7534.0529589
2020,台南市,5095.1474988,9069,2726.4012054,4099.3875282
2020,高雄市,9982.5663391,10612,3521.7242164,5876.6884203
2020,宜蘭縣,11987.279042,7802,2875.1131471,5683.9426726
2020,新竹縣,6331.5778992,15456,4132.9707224,11463.065603
2020,苗栗縣,5831.4191843,9348,3237.7345298,5377.8898356
2020,彰化縣,6331.5158338,7174,4149.0859456,3401.1699677
2020,南投縣,5127.0840521,7331,3003.5422986,4381.7087488
2020,雲林縣,4548.440093,8153,2500.1725196,3435.2342465
2020,嘉義縣,3325.5853342,5458,2006.6027426,3081.1473752
2020,屏東縣,8465.9312213,7812,2950.6729548,3823.1192068
2020,台東縣,2462.0748845,5637,1208.7768684,2318.6285913
2020,花蓮縣,8429.7305828,7846,2097.5379976,3180.6782657
2020,澎湖縣,4569.2019898,8999,1887.4593816,3594.3931166
2020,基隆市,14164.963451,12884,4172.1711802,7443.7713673
2020,新竹市,14756.291684,15052,4239.9616639,8298.273778
2020,嘉義市,8082.374489,8840,3335.025845,5883.931665
2021,新北市,1693.8574828,12327,3731.2543759,8424.9263148
2021,台北市,8812.1811021,17715,3941.2022835,12951.618555
2021,桃園市,1486.5435997,12117,3970.3763808,6649.3019602
2021,台中市,2346.3479406,12906,4264.3529282,7896.2144656
2021,台南市,1068.5475537,9474,2700.8833182,3721.5836109
2021,高雄市,1888.4507601,10000,3130.0762675,5684.59498
2021,宜蘭縣,2731.9673679,8717,3325.5482794,5980.7983021
2021,新竹縣,1701.6498544,15972,5437.2789461,14715.374836
2021,苗栗縣,1159.9291654,8906,2940.0695385,5502.8858672
2021,彰化縣,1867.4371084,7766,4197.6373914,3981.1411596
2021,南投縣,1740.6865751,7471,2759.6371288,4351.4650695
2021,雲林縣,1034.2276049,7114,2167.50334,3931.6554088
2021,嘉義縣,762.8628875,5757,2259.5793596,2353.3559753
2021,屏東縣,2105.6443707,7758,2791.5429979,4606.9850472
2021,台東縣,1327.4722118,6302,1369.6169395,2359.5172799
2021,花蓮縣,809.90515154,8226,2104.1418321,3344.3493666
2021,澎湖縣,790.97257996,6529,1129.0269059,4343.4591636
2021,基隆市,2286.272183,13594,3789.7834061,10028.891308
2021,新竹市,4191.9427345,15372,4502.5548273,10070.099924
2021,嘉義市,984.22156411,9588,2809.7973312,5580.0719694
2022,新北市,3776.4941515,13543,3509.6599533,9789.4302131
2022,台北市,12489.330088,18542,4122.0971764,13349.201103
2022,桃園市,2120.9317996,11331,4078.0635623,7491.7654093
2022,台中市,4488.1208117,12402,4022.2137204,8133.4542066
2022,台南市,2266.0035785,9153,2806.5854618,4746.1730572
2022,高雄市,2592.3838575,11466,3217.2819449,7275.5165087
2022,宜蘭縣,2394.9533693,9697,2343.2818425,5156.5115676
2022,新竹縣,3320.932299,13244,4177.9323388,10637.436253
2022,苗栗縣,1768.6559672,8897,2922.0569151,5600.9819036
2022,彰化縣,2301.6062545,6820,3845.939547,4577.1684144
2022,南投縣,2176.3522178,8224,2672.5780161,4368.8454048
2022,雲林縣,1213.1554736,7426,2189.8355677,2897.4406816
2022,嘉義縣,1383.0171636,5936,1370.4954015,2037.932951
2022,屏東縣,2619.9991359,8896,2432.4671279,4167.6745218
2022,台東縣,1095.105866,5357,1540.344023,2681.8733702
2022,花蓮縣,1710.617526,7063,1284.3445563,3668.5742288
2022,澎湖縣,755.5289994,8220,1023.9791768,3915.2579107
2022,基隆市,3940.4323851,12559,3974.8481193,9748.586884
2022,新竹市,3422.3020447,15817,3501.5882966,8953.1459223
2022,嘉義市,1615.5771383,10179,2846.1336736,4628.4253458
2023,新北市,12825.0,14048,3228.0,9130.0
2023,台北市,25413.0,18047,3512.0,13339.0
2023,桃園市,10637.0,12032,3867.0,6503.0
2023,台中市,11469.0,13647,4145.0,8159.0
2023,台南市,5988.0,9649,2737.0,5432.0
2023,高雄市,9936.0,12463,3176.0,6318.0
2023,宜蘭縣,6584.0,7486,2159.0,4623.0
2023,新竹縣,7949.0,17839,2159.0,13093.0
2023,苗栗縣,9906.0,10493,3071.0,7426.0
2023,彰化縣,7032.0,7527,3761.0,3655.0
2023,南投縣,4629.0,7514,2136.0,3279.0
2023,雲林縣,3291.0,9398,2327.0,5140.0
2023,嘉義縣,3501.0,6688,1695.0,2584.0
2023,屏東縣,5276.0,7253,2163.0,3627.0
2023,台東縣,6508.0,6630,1575.0,2006.0
2023,花蓮縣,2867.0,7876,1703.0,4318.0
2023,澎湖縣,4070.0,9880,1423.0,7642.0
2023,基隆市,8997.0,12662,3849.0,8919.0
2023,新竹市,18363.0,20415,4509.0,9508.0
2023,嘉義市,11584.0,9124,3312.0,7326.0
